ID,Age,Experience,Income,Pincode,Family,CCAvg,Education,Mortgage,Loanapproved,SecuritiesAccount,CDAccount,Online,CreditCard
1518,24,n/a,Rs 99 lacs,671475,2,0.05,12th or less,0.0,0,1,0,1,0
1519,27,9,18.78,242186,0,0.28,12th or less,20.99,1,0,0,0,0
1520,56yrs,35,19.1,601399,0,0.1,Post Graduate,16.48,0,0,0,0,1
1521,41yrs,,26.19,916301,5,0.28,Bachelors,18.17,1,1,1,1,0
1522,50yrs,,Rs 17 lacs,648899,2,0.05,Post Graduate,0.0,1,1,1,0,0
1523,59yrs 2 months,,11.59,603270,0,0.11,Bachelors,4.41,0,n/a,1,1,1
1524,47,28,19.23,193015,5,0.38,Bachelors,24.06,0,0,0,0,1
1525,46,26,n/a,377624,1,0.05,12th or less,0.0,0,1,0,1,1
1526,39yrs,21,50.36,764809,4,1.25,Bachelors,49.25,0,0,0,1,1
1527,34,13,65.53,350421,1,0.37,Bachelors,41.83,1,1,1,1,1
1528,60,39,14.81,262297,5,0.44,Post Graduate,11.32,1,1,0,0,1
1529,62yrs,41,4.65,928051,5,0.13,12th or less,1.2,1,1,0,0,1
1530,51,32,unemployed,691427,4,0.05,12th or less,0.0,1,0,0,0,0
1531,27,,14.83,347633,0,0.23,12th or less,18.52,1,1,1,0,1
1532,53yrs 3 months,31,22.17,887162,2,0.38,12th or less,13.84,1,1,0,0,1
1533,29yrs,9,22.45,329313,4,0.17,Bachelors,13.6,1,1,1,1,0
1534,22yrs,0,9.65,976490,0,0.12,Post Graduate,5.77,1,n/a,0,0,0
1535,56yrs,n/a,20.33,272964,5,0.41,12th or less,4.26,0,1,1,1,0
1536,27yrs 4 months,5,4.76,811915,1,0.06,Bachelors,4.55,1,0,1,0,1
1537,25yrs,3,31.34,789370,0,0.83,Post Graduate,15.78,1,1,0,1,1
1538,42yrs,22,15.95,888443,4,0.16,12th or less,16.63,1,0,0,0,1
1539,54yrs,36,20.58,632532,4,0.45,12th or less,4.99,1,1,1,1,0
1540,36yrs 2 months,17,14.17,854604,4,0.12,Post Graduate,13.4,0,1,1,0,0
1541,34yrs 8 months,14,6.0,131930,1,0.1,12th or less,4.69,1,0,1,0,0
1542,29yrs 2 months,11,48.7,402699,2,1.52,12th or less,20.66,1,1,1,1,0
1543,26,7,31.88,574221,0,0.34,Post Graduate,28.34,1,1,0,0,0
1544,65yrs 1 months,43,25.23,471538,2,0.84,Bachelors,31.23,1,1,0,1,0
1545,57yrs,35,58.1,759019,1,0.29,12th or less,55.69,1,0,1,1,0
1546,61yrs,43,22.31,827824,3,0.34,12th or less,16.19,1,0,1,1,0
1547,22yrs,4,28.67,450209,3,0.65,Bachelors,35.5,1,1,0,0,1
1548,57,39,31.25,811421,1,0.14,Bachelors,13.59,1,1,1,0,1
1549,64yrs 4 months,42,26.14,438810,1,0.65,Bachelors,24.02,0,1,1,0,0
1550,62,,36.47,568213,3,0.6,Bachelors,40.31,1,1,1,0,1
1551,62,n/a,7.96,551294,3,0.18,12th or less,4.13,0,0,1,1,0
1552,39yrs 2 months,19,43.59,899978,5,1.34,Post Graduate,17.54,1,0,0,0,0
1553,63,42,17.14,952305,2,0.29,Post Graduate,15.22,1,1,0,1,1
1554,64yrs,42,Rs 14 lacs,176926,4,0.05,Post Graduate,0.0,0,0,0,1,0
1555,37,n/a,27.62,305492,0,0.76,Post Graduate,25.64,0,0,0,0,0
1556,21yrs,2,25.19,421103,0,0.15,Post Graduate,26.66,0,0,0,1,0
1557,24yrs,6,17.27,598169,1,0.08,Bachelors,2.96,1,1,1,1,1
1558,57yrs,38,15.83,220538,0,0.15,Bachelors,3.83,1,1,1,0,1
1559,50yrs 2 months,30,32.75,213348,4,0.24,Bachelors,35.09,0,0,1,0,1
1560,50,28,28.31,502729,5,0.59,12th or less,14.79,0,1,1,0,0
1561,49yrs 10 months,29,17.42,122638,5,0.35,Bachelors,10.96,1,1,0,0,0
1562,41,20,n/a,959867,3,0.05,Bachelors,0.0,0,1,1,0,1
1563,23,2,36.26,465732,5,0.27,Bachelors,16.96,1,n/a,1,1,1
1564,45yrs,26,Rs 35 lacs,994493,0,0.05,Bachelors,0.0,1,1,1,1,1
1565,23,4,9.93,422091,0,0.07,Post Graduate,6.71,0,1,1,0,1
1566,31,10,19.91,821621,1,0.12,12th or less,9.81,1,0,0,1,1
1567,59yrs 3 months,n/a,33.94,976075,0,0.78,12th or less,40.21,1,1,1,0,0
1568,57yrs,38,26.49,968040,3,0.12,Bachelors,22.15,1,n/a,0,1,0
1569,41,20,15.3,633666,2,0.13,12th or less,2.66,1,1,0,1,1
1570,65yrs,43,8.64,545426,0,0.16,Bachelors,3.32,0,0,0,0,1
1571,34yrs,13,68.56,902492,2,0.8,Bachelors,69.86,1,1,0,1,1
1572,59yrs 3 months,41,18.95,600230,0,0.19,Bachelors,21.38,0,0,0,1,1
1573,62yrs,41,27.49,907239,3,0.5,Post Graduate,30.13,1,0,0,0,0
1574,51,29,31.67,938971,4,0.48,Post Graduate,34.54,0,1,1,1,0
1575,60yrs 6 months,40,Rs 30 lacs,410494,2,0.05,12th or less,0.0,1,n/a,1,0,0
1576,47,29,17.97,152224,1,0.12,Bachelors,10.15,0,0,0,1,1
1577,37yrs 11 months,18,10.29,543751,2,0.05,Bachelors,12.22,1,1,0,0,1
1578,44yrs 5 months,n/a,Rs 26 lacs,208721,0,0.05,Bachelors,0.0,1,0,0,1,0
1579,55yrs 7 months,36,52.48,131172,1,0.31,12th or less,45.66,1,0,1,1,1
1580,39yrs 9 months,17,36.05,725830,0,0.63,Bachelors,33.79,1,1,0,0,0
1581,54yrs 4 months,32,21.43,159005,4,0.55,Bachelors,7.69,1,1,1,1,0
1582,23,5,26.36,833348,0,0.52,12th or less,22.8,0,1,0,0,1
1583,38,18,25.74,891205,5,0.14,Bachelors,31.69,1,1,1,1,0
1584,51,33,11.06,411821,1,0.35,12th or less,8.24,1,1,1,1,1
1585,35yrs,n/a,17.41,780723,5,0.37,12th or less,12.75,1,1,1,0,1
1586,46,28,12.41,877439,4,0.09,Bachelors,2.45,0,1,1,0,1
1587,61,41,8.88,458520,2,0.13,Post Graduate,5.73,1,0,0,1,1
1588,65,44,39.08,709770,0,0.63,12th or less,11.49,1,1,1,1,0
1589,37,17,40.38,463373,3,0.47,12th or less,26.29,1,0,1,0,1
1590,33yrs,12,20.5,254722,2,0.1,Post Graduate,10.38,1,1,0,1,1
1591,38,,16.9,439952,3,0.45,Post Graduate,4.36,1,n/a,0,0,0
1592,32yrs 6 months,10,12.92,425373,1,0.1,Post Graduate,3.27,0,0,1,0,0
1593,42yrs,23,37.29,776211,2,0.67,Post Graduate,16.05,1,0,1,1,0
1594,57yrs,39,9.0,449590,4,0.19,12th or less,2.81,0,1,0,0,1
1595,65yrs,45,20.36,837569,2,0.14,Post Graduate,14.01,1,0,1,0,1
1596,31,12,33.74,306106,3,0.49,12th or less,37.63,0,1,1,1,1
1597,33yrs,12,22.68,170430,1,0.46,Bachelors,6.9,1,1,1,1,1
1598,56yrs 11 months,35,21.51,758028,5,0.48,12th or less,5.13,1,0,1,0,1
1599,45yrs,24,41.92,111534,1,0.26,12th or less,33.87,0,1,0,0,0
1600,39,19,19.74,152750,12,0.1,Post Graduate,10.71,0,0,1,1,1
1601,21yrs,2,12.39,264163,4,0.07,12th or less,5.07,0,n/a,0,0,0
1602,34,16,33.57,498541,4,0.71,12th or less,7.37,1,1,0,0,1
1603,22yrs 4 months,4,17.5,948167,0,0.29,Bachelors,17.99,0,1,0,1,1
1604,25,6,unemployed,858659,1,0.05,Post Graduate,0.0,0,1,1,0,1
1605,27yrs,6,unemployed,769533,1,0.05,12th or less,0.0,1,1,1,1,0
1606,47yrs,n/a,19.85,930507,3,0.26,12th or less,16.19,1,1,0,1,1
1607,51yrs,31,24.37,108726,4,0.63,Post Graduate,19.19,1,0,1,0,0
1608,61,39,48.02,940402,3,0.26,Bachelors,13.32,1,0,1,1,0
1609,36yrs 9 months,15,38.41,249489,1,0.72,12th or less,39.53,1,0,1,0,0
1610,44yrs,23,9.18,985292,0,0.15,12th or less,3.1,1,0,1,1,1
1611,53yrs,33,7.69,395979,2,0.07,Bachelors,4.29,0,1,0,1,1
1612,54yrs 11 months,32,25.96,419007,0,0.35,Bachelors,31.16,0,1,0,0,1
1613,26yrs,8,25.0,470909,0,0.78,Bachelors,7.88,1,1,1,0,1
1614,23yrs,4,19.85,637698,0,0.16,12th or less,23.43,0,1,0,0,0
1615,54,33,24.24,186557,3,0.39,Bachelors,11.82,0,1,0,0,0
1616,31,9,16.13,598629,2,0.42,Bachelors,4.641,1,0,1,1,1
1617,41,23,3.49,529526,1,0.3,Post Graduate,1.41,1,1,0,0,0
1618,59yrs,40,n/a,130248,3,0.05,12th or less,0.0,0,0,1,1,1
1619,62yrs,41,29.31,460414,2,0.69,Post Graduate,14.84,0,0,0,1,1
1620,44yrs,22,17.31,291667,2,0.54,12th or less,14.44,0,1,0,1,0
1621,22,4,16.17,374863,4,0.42,Post Graduate,9.33,1,0,0,1,0
1622,56yrs,37,unemployed,834251,2,0.05,Post Graduate,0.0,1,n/a,1,1,1
1623,50yrs,29,24.33,971412,0,0.2,12th or less,30.379,0,1,1,0,0
1624,47,28,18.73,318833,1,0.33,12th or less,9.48,0,0,1,1,0
1625,27yrs,,28.38,912390,4,0.83,Bachelors,39.745999999999995,1,0,1,1,1
1626,21,1,8.93,926719,3,0.24,Post Graduate,6.62,1,0,1,1,1
1627,60,41,11.04,158836,4,0.26,12th or less,2.58,1,0,0,0,1
1628,43,24,17.43,695922,4,0.4,12th or less,11.79,1,0,1,0,0
1629,27yrs,7,23.45,622175,5,0.17,Bachelors,28.28,0,n/a,0,0,1
1630,37yrs 9 months,16,51.11,639548,1,1.08,12th or less,62.36,0,0,0,0,1
1631,48yrs,28,45.92,129947,3,0.61,Post Graduate,32.53,1,1,0,1,1
1632,40yrs 3 months,21,20.79,805396,5,0.48,Post Graduate,6.21,1,0,0,0,0
1633,51yrs,n/a,38.46,129033,3,0.78,Post Graduate,46.72,1,1,1,0,1
1634,52yrs,34,62.4,234724,3,1.9,Bachelors,41.67,1,0,0,1,1
1635,58,37,49.53,927772,1,1.5,Bachelors,39.14,1,n/a,0,1,0
1636,23yrs 8 months,4,61.76,982534,3,1.9,12th or less,18.68,1,0,0,0,0
1637,37yrs,16,unemployed,430085,2,0.05,Bachelors,0.0,1,1,0,0,1
1638,63yrs,45,12.48,559452,0,0.32,Post Graduate,6.79,1,0,0,1,1
1639,40yrs,22,35.61,621199,0,0.34,12th or less,8.85,1,0,0,1,0
1640,51,30,Rs 17 lacs,706838,0,0.05,Bachelors,0.0,0,0,0,0,1
1641,29yrs 11 months,8,15.92,627483,3,0.36,Post Graduate,3.31,1,0,1,0,1
1642,43yrs,25,16.77,757383,2,0.31,Post Graduate,6.97,1,0,1,1,0
1643,52yrs 7 months,,16.75,829506,5,0.32,12th or less,20.37,1,0,1,0,0
1644,44yrs,n/a,34.87,853414,4,0.96,12th or less,37.62,1,1,1,1,0
1645,29,9,unemployed,484711,3,0.05,12th or less,0.0,0,1,0,0,1
1646,50yrs,30,56.11,406062,4,1.57,Bachelors,60.79,1,1,0,0,0
1647,41yrs,,Rs 32 lacs,805436,4,0.05,Bachelors,0.0,1,0,0,1,1
1648,43,23,52.2,707490,1,1.0,Bachelors,41.54,1,1,1,0,0
1649,48yrs,n/a,14.78,669717,2,0.24,Bachelors,9.02,0,0,0,0,0
1650,26yrs 9 months,7,23.47,650243,4,0.18,12th or less,23.25,1,0,1,1,0
1651,40yrs 7 months,18,18.2,947684,1,0.18,Bachelors,22.63,0,1,1,0,1
1652,35yrs,15,18.03,366875,4,0.59,Post Graduate,2.83,1,1,1,1,0
1653,47,25,14.63,657558,3,0.19,Bachelors,5.56,1,1,0,1,1
1654,55yrs 11 months,34,41.6,936580,1,0.59,12th or less,43.53,1,1,1,1,0
1655,41yrs 4 months,21,57.87,320475,2,0.52,Bachelors,40.37,1,1,0,0,1
1656,60,42,12.49,258247,5,0.4,Bachelors,5.81,1,1,0,1,1
1657,32yrs 2 months,14,40.42,935916,5,0.78,Bachelors,51.52,1,1,0,1,1
1658,42yrs 6 months,22,Rs 7 lacs,114095,4,0.05,Bachelors,0.0,0,1,0,0,0
1659,25yrs,7,40.4,703577,3,0.5,Bachelors,48.99,1,1,1,0,0
1660,21,3,n/a,139244,3,0.05,Bachelors,0.0,0,1,0,0,0
1661,61yrs 5 months,42,35.44,543748,4,1.01,12th or less,42.32,1,0,0,0,1
1662,48yrs,,39.61,433651,2,1.18,Bachelors,6.33,1,0,0,1,0
1663,23yrs,5,36.1,204584,1,0.67,Post Graduate,37.92,1,0,0,0,1
1664,52yrs,n/a,47.35,773690,3,1.45,Bachelors,43.08,1,0,1,0,0
1665,58yrs,39,16.99,350770,0,0.53,Post Graduate,19.7,1,1,1,0,1
1666,32yrs,12,33.33,618802,4,1.04,Bachelors,12.77,0,n/a,1,1,0
1667,26,6,14.57,794687,3,0.1,Bachelors,17.44,0,1,0,1,1
1668,56,36,18.93,474947,5,0.32,12th or less,3.61,0,1,1,1,0
1669,41yrs 5 months,20,9.07,493008,4,0.1,12th or less,6.6,1,0,0,1,0
1670,46yrs,27,23.44,904945,2,0.16,Bachelors,24.04,1,1,1,1,0
1671,23yrs 6 months,3,27.29,641788,0,3.53,Post Graduate,30.91,1,1,0,0,0
1672,22,n/a,38.35,822529,5,0.85,Bachelors,43.72,1,1,1,1,1
1673,63yrs,42,11.46,257490,2,0.2,Bachelors,11.45,1,0,1,1,0
1674,29,7,21.2,899557,0,0.55,Bachelors,16.48,1,1,0,1,0
1675,58,,52.71,584283,2,0.43,Bachelors,32.21,1,1,1,1,0
1676,61yrs 3 months,41,52.41,565114,1,0.25,12th or less,8.72,1,1,1,0,0
1677,37,15,14.02,970011,1,0.12,Bachelors,7.82,0,0,1,0,1
1678,41,21,24.28,103683,5,0.78,12th or less,8.51,1,1,1,0,1
1679,41yrs,20,28.02,621323,5,0.4,12th or less,49.129999999999995,0,n/a,1,1,0
1680,63,42,25.91,806714,4,0.5,Post Graduate,25.33,1,1,0,1,1
1681,61yrs 5 months,43,4.56,305835,1,0.14,12th or less,4.61,1,1,1,0,0
1682,55,36,48.82,424038,0,1.14,Bachelors,44.36,0,0,1,0,0
1683,54yrs 6 months,34,Rs 17 lacs,497910,1,0.05,Post Graduate,0.0,1,0,1,1,0
1684,23,4,15.17,479595,5,0.26,12th or less,6.4,1,0,0,0,0
1685,40,22,20.39,959829,1,0.52,Bachelors,15.93,1,0,1,0,1
1686,42,22,22.6,868336,2,0.4,Bachelors,25.415,1,1,0,1,1
1687,44yrs,26,Rs 16 lacs,384119,1,0.05,12th or less,0.0,1,0,0,0,0
1688,63yrs,45,27.57,215273,3,0.22,Bachelors,24.97,1,0,0,1,0
1689,49yrs 7 months,27,8.2,243675,3,0.05,Post Graduate,7.38,0,1,1,1,0
1690,32yrs,13,15.97,367823,5,0.24,12th or less,13.26,1,1,1,1,0
1691,55yrs,33,unemployed,902051,3,0.05,12th or less,0.0,1,1,0,0,1
1692,43yrs 10 months,23,24.44,186666,5,0.41,Bachelors,9.32,0,n/a,0,1,0
1693,34yrs 1 months,12,24.49,449715,5,0.67,Bachelors,11.34,1,1,0,1,1
1694,51yrs,31,64.1,434456,4,0.29,Bachelors,31.07,1,1,0,1,1
1695,59yrs 8 months,38,29.01,952159,1,0.5,12th or less,5.23,1,0,0,0,1
1696,44yrs 4 months,,24.09,807552,2,0.75,12th or less,23.55,1,0,0,1,0
1697,60yrs,41,24.69,918229,0,0.48,12th or less,29.75,0,1,0,1,1
1698,54,32,42.86,841780,4,0.38,Post Graduate,49.3,1,1,1,0,1
1699,59yrs,40,14.89,923935,0,0.24,Bachelors,8.06,0,0,1,1,1
1700,36,17,45.75,171807,4,0.77,12th or less,22.79,1,1,0,0,1
1701,21yrs 8 months,0,24.34,231492,1,0.32,Post Graduate,6.65,1,0,0,1,1
1702,42,23,22.33,415232,1,0.17,Bachelors,13.89,1,1,0,1,1
1703,34yrs 10 months,15,unemployed,313121,2,0.05,12th or less,0.0,1,1,0,1,1
1704,55,37,unemployed,171739,3,0.05,12th or less,0.0,1,0,0,0,1
1705,34,12,47.03,963546,4,1.98,Post Graduate,45.4,1,1,0,0,0
1706,23,1,Rs 15 lacs,362306,2,0.05,Post Graduate,0.0,1,0,1,0,1
1707,26,7,16.73,458199,5,0.23,Bachelors,17.73,0,1,1,1,1
1708,65yrs,47,18.43,266064,3,0.1,Bachelors,17.74,1,0,0,0,0
1709,31,10,23.05,145519,5,0.68,Post Graduate,26.44,1,0,0,1,0
1710,57yrs 8 months,n/a,n/a,863755,4,0.05,12th or less,0.0,0,n/a,1,0,0
1711,47,27,18.44,488363,2,0.25,Bachelors,19.61,1,1,1,0,1
1712,49yrs,28,21.5,726849,5,0.24,Post Graduate,25.36,0,1,0,1,0
1713,31,12,22.51,712771,2,0.74,Bachelors,25.31,1,0,1,1,1
1714,22yrs 1 months,4,37.34,535094,3,0.94,Bachelors,35.7,1,1,0,0,0
1715,32yrs 5 months,10,Rs 27 lacs,985223,0,0.05,Bachelors,0.0,1,0,1,0,1
1716,44yrs,25,12.07,519375,4,0.27,Bachelors,13.71,1,1,0,0,1
1717,44yrs,24,23.87,313869,4,0.19,12th or less,28.98,1,1,0,1,1
1718,53,n/a,25.73,518109,0,0.56,Bachelors,32.49,1,0,0,0,1
1719,38,,62.82,236453,5,1.55,Post Graduate,26.46,0,1,0,0,0
1720,60,39,45.52,562220,2,0.44,Bachelors,32.74,1,0,1,1,0
1721,41,20,25.96,704885,4,0.63,Post Graduate,23.09,1,1,0,1,1
1722,42yrs,24,9.05,416403,3,0.09,Post Graduate,11.1,0,0,0,0,1
1723,39,17,14.84,887134,3,0.46,Bachelors,11.7,1,n/a,1,1,1
1724,22yrs,n/a,25.88,350451,3,0.85,Bachelors,6.69,1,0,1,1,0
1725,37yrs,19,63.18,926240,3,0.98,Bachelors,75.66,1,0,0,1,0
1726,60,41,11.56,116559,2,0.31,Bachelors,3.53,0,0,0,1,0
1727,24,2,41.0,176734,1,0.77,12th or less,21.01,1,0,1,1,0
1728,30yrs,11,Rs 28 lacs,966591,0,0.05,Post Graduate,0.0,0,1,1,1,0
1729,63,45,24.99,462574,5,0.61,Bachelors,26.85,1,1,0,0,1
1730,34yrs,13,unemployed,202870,3,0.05,Bachelors,0.0,1,1,0,1,1
1731,34yrs 9 months,16,Rs 16 lacs,293831,3,0.05,Bachelors,0.0,0,0,1,0,0
1732,46yrs,25,23.83,854567,5,0.67,Bachelors,12.76,1,1,0,0,0
1733,31,12,87.69,304056,5,2.51,Post Graduate,35.99,1,1,0,0,0
1734,45,23,24.29,690800,3,0.41,Bachelors,17.1,0,1,1,1,0
1735,51yrs,33,22.7,759027,0,0.3,12th or less,14.05,1,1,1,0,1
1736,51yrs 2 months,33,17.43,609407,3,0.35,12th or less,13.31,0,0,0,1,1
1737,51yrs,32,12.88,118051,0,0.3,12th or less,5.16,0,0,1,1,0
1738,63yrs 3 months,43,10.98,539073,5,0.21,Post Graduate,3.92,0,0,0,0,1
1739,56,34,40.13,333150,0,0.9,Bachelors,29.8,1,0,0,1,0
1740,45,27,10.39,690194,2,0.16,12th or less,10.51,1,1,1,1,0
1741,51,32,75.41,532831,5,0.62,Bachelors,69.18,1,1,0,1,0
1742,43yrs,24,64.08,634037,0,1.56,Bachelors,33.34,1,1,1,0,0
1743,62yrs,43,32.21,232127,3,0.88,Post Graduate,24.35,1,1,1,1,0
1744,34yrs,14,43.06,491188,2,0.93,Post Graduate,24.24,1,0,1,0,1
1745,37,19,17.81,259119,0,0.42,Post Graduate,31.994,0,0,0,0,0
1746,26yrs,7,36.96,221990,2,0.72,Post Graduate,37.01,1,1,0,0,0
1747,25,5,51.9,371266,1,0.81,Bachelors,55.91,0,1,1,0,0
1748,39yrs,18,91.14,502227,5,1.83,Post Graduate,113.94,1,0,1,1,0
1749,58,38,65.5,485652,3,1.47,Bachelors,15.64,0,1,1,1,0
1750,63yrs 5 months,45,22.56,753331,3,0.52,12th or less,10.56,1,0,1,1,1
1751,32yrs 9 months,13,38.28,512524,2,0.43,Bachelors,46.64,1,1,1,1,1
1752,55yrs 9 months,33,24.09,167235,3,0.14,12th or less,19.89,0,1,1,0,0
1753,35yrs,17,13.09,855276,2,0.32,12th or less,9.7,1,1,0,1,0
1754,56yrs 7 months,35,Rs 48 lacs,959174,4,0.05,12th or less,0.0,0,0,1,0,1
1755,42yrs 4 months,20,47.78,117515,3,1.45,Post Graduate,29.92,1,1,0,0,1
1756,33,11,16.2,933148,5,0.2,12th or less,6.41,1,1,0,0,0
1757,34,13,31.1,286313,4,0.27,Post Graduate,25.42,0,0,1,1,0
1758,26yrs,4,unemployed,677586,3,0.05,Bachelors,0.0,0,0,0,0,1
1759,31yrs 7 months,10,16.82,362169,5,0.23,Bachelors,16.4,1,0,1,1,0
1760,50yrs,32,Rs 26 lacs,919080,3,0.05,Bachelors,0.0,0,1,1,0,1
1761,23,5,24.01,754985,1,0.38,Bachelors,22.76,0,1,0,0,1
1762,29,9,35.99,698015,4,0.45,12th or less,15.41,1,0,1,0,1
1763,35yrs,13,34.71,292718,2,0.34,Bachelors,7.89,1,1,1,1,1
1764,27yrs,6,50.35,230083,4,0.77,12th or less,11.89,1,1,1,0,1
1765,24,2,17.84,351281,1,0.38,12th or less,10.73,0,0,0,0,1
1766,52,30,20.1,980897,2,0.32,12th or less,13.37,1,1,1,1,0
1767,32yrs 3 months,10,29.45,702150,1,0.83,Bachelors,17.54,1,1,0,1,0
1768,45,26,20.08,140714,1,0.42,Post Graduate,3.37,1,1,1,0,0
1769,52yrs 10 months,34,15.91,675229,5,0.09,Post Graduate,3.54,1,1,1,0,1
1770,35yrs,17,7.37,406417,1,0.24,Post Graduate,1.38,1,1,1,0,0
1771,50yrs 8 months,32,26.56,576446,0,0.45,12th or less,19.79,1,1,1,1,0
1772,47yrs,,n/a,398767,5,0.05,Post Graduate,0.0,1,n/a,0,0,1
1773,28yrs,9,22.2,132319,12,0.58,Bachelors,9.59,0,0,1,1,0
1774,47,,10.52,540008,3,0.31,Bachelors,4.25,1,0,1,0,1
1775,35yrs,n/a,17.25,225646,5,0.36,Bachelors,16.59,0,1,1,1,0
1776,26yrs,6,24.08,380473,2,0.64,Bachelors,28.23,1,1,0,1,1
1777,53yrs,34,n/a,950336,0,0.05,Bachelors,0.0,1,1,0,0,1
1778,41yrs,19,71.59,124281,4,1.02,12th or less,26.95,1,1,0,1,0
1779,44yrs 2 months,24,19.87,459801,0,0.49,Bachelors,4.18,1,0,1,0,0
1780,43yrs 1 months,,23.72,247477,2,2.74,12th or less,18.62,1,0,0,0,1
1781,60yrs,41,Rs 25 lacs,942345,5,0.05,Bachelors,0.0,1,0,0,1,0
1782,34yrs 2 months,15,unemployed,661426,2,0.05,Post Graduate,0.0,1,0,0,1,1
1783,59yrs 1 months,n/a,29.62,664018,1,0.73,Bachelors,12.91,0,1,0,0,1
1784,44yrs,n/a,6.84,224464,5,0.06,Bachelors,5.89,0,0,0,1,0
1785,61yrs,40,Rs 20 lacs,231260,3,0.05,Bachelors,0.0,0,1,0,1,0
1786,51,32,48.78,540108,5,1.53,Bachelors,12.47,1,0,0,0,1
1787,63yrs,45,12.54,997624,2,0.33,Post Graduate,8.3,1,0,1,1,1
1788,23,1,unemployed,345036,0,0.05,Bachelors,0.0,1,1,1,0,0
1789,41yrs,20,27.41,930124,5,0.47,Bachelors,31.94,0,0,1,1,0
1790,40yrs,18,n/a,755827,4,0.05,12th or less,0.0,0,0,0,0,1
1791,48yrs,30,11.1,276457,1,0.37,Post Graduate,13.41,1,n/a,1,0,1
1792,57yrs,38,28.43,543078,2,0.82,Post Graduate,25.93,1,1,0,0,0
1793,25yrs,5,23.34,145190,2,0.55,Bachelors,20.63,1,1,0,0,1
1794,36,15,34.11,444194,5,0.91,Bachelors,14.71,1,0,0,1,0
1795,47,25,Rs 14 lacs,988452,3,0.05,Post Graduate,0.0,1,1,0,1,1
1796,43yrs 4 months,24,32.26,772899,2,0.62,12th or less,9.53,1,1,1,1,0
1797,52yrs,31,13.27,678898,3,0.08,Bachelors,8.14,1,1,0,0,1
1798,50yrs 10 months,29,22.43,410294,2,0.46,Bachelors,28.89,0,0,1,1,1
1799,26yrs,4,40.86,921051,3,1.23,12th or less,45.34,1,0,0,0,0
1800,27,5,Rs 30 lacs,121762,1,0.05,12th or less,0.0,0,1,0,1,1
1801,35,14,23.71,484502,2,0.34,Bachelors,17.8,1,1,1,1,0
1802,38,n/a,38.08,373860,0,0.42,12th or less,48.2,1,n/a,1,0,1
1803,61,39,21.72,368712,3,0.24,12th or less,6.87,0,0,1,0,1
1804,35,,12.84,160626,2,0.4,Post Graduate,7.73,1,0,0,0,0
1805,23yrs,4,34.36,754302,1,0.59,Post Graduate,19.98,1,1,1,1,1
1806,27yrs 9 months,7,8.42,362189,1,0.11,Bachelors,3.72,1,1,1,1,0
1807,63,n/a,8.68,789400,12,0.22,12th or less,7.04,0,1,0,0,1
1808,54,36,45.39,773534,1,1.44,12th or less,51.72,0,0,0,0,0
1809,51yrs,30,11.64,581603,3,0.36,Post Graduate,8.01,0,1,0,1,0
1810,21yrs 7 months,1,n/a,907401,1,0.05,Bachelors,0.0,1,1,1,1,1
1811,26yrs,4,48.31,827245,0,1.25,Bachelors,13.75,1,0,0,0,0
1812,50yrs 1 months,32,36.23,263535,1,1.08,Bachelors,6.41,1,0,0,0,0
1813,23,3,41.91,604046,3,1.34,Bachelors,8.09,0,0,1,0,0
1814,34,15,42.69,167241,5,1.33,Post Graduate,37.26,0,1,0,0,1
1815,25yrs 8 months,6,41.0,882381,3,0.8,Post Graduate,34.41,0,1,1,1,0
1816,63,44,29.69,453778,3,0.95,12th or less,12.45,1,1,1,0,0
1817,43yrs,21,15.56,862572,4,0.51,12th or less,10.1,1,0,0,0,1
1818,47yrs,26,28.02,448045,3,0.75,Post Graduate,32.41,1,0,1,0,0
1819,24,,10.4,793686,0,0.21,Bachelors,11.97,1,1,1,0,0
1820,25,5,unemployed,720199,3,0.05,12th or less,0.0,1,n/a,0,0,1
1821,32,11,n/a,754555,3,0.05,Post Graduate,0.0,0,1,0,1,0
1822,35yrs 3 months,16,17.9,406109,1,0.29,Bachelors,8.16,0,1,0,1,0
1823,53yrs 7 months,,21.53,377079,2,0.61,Bachelors,26.32,0,1,0,1,0
1824,46yrs 6 months,n/a,13.66,819762,4,0.15,Post Graduate,8.05,1,1,0,0,0
1825,27yrs 6 months,7,18.89,804575,5,0.12,12th or less,12.03,1,0,1,0,1
1826,44yrs,25,36.04,245738,2,0.66,12th or less,14.85,1,1,0,1,0
1827,40yrs 2 months,18,6.22,539081,3,0.13,Post Graduate,4.48,1,n/a,1,1,1
1828,61yrs,n/a,33.58,708243,4,0.38,12th or less,9.35,1,1,1,1,0
1829,45yrs,25,23.71,520064,2,0.43,12th or less,16.1,1,1,0,0,0
1830,40yrs 4 months,22,63.67,648937,0,0.34,12th or less,69.61,1,n/a,0,0,1
1831,37,17,15.31,672946,2,0.5,12th or less,6.29,1,1,0,1,0
1832,47yrs 3 months,26,26.66,330991,3,0.25,Post Graduate,30.32,1,1,0,0,0
1833,56,38,66.31,180262,3,1.44,Bachelors,22.63,1,0,0,1,1
1834,55yrs 1 months,34,18.86,404972,5,0.61,Post Graduate,3.74,0,0,1,1,0
1835,29yrs 4 months,7,14.8,671295,2,0.29,12th or less,5.26,1,0,1,1,0
1836,49,,14.66,942253,2,0.19,Post Graduate,15.75,0,1,1,1,1
