sentence,abbreviation,expansion
metastasis was noted near the CA context along with malignancy.,CA,Cancer
Assessment showed tumor; CA signified presence of metastasis.,CA,Cancer
Clinicians discussed malignancy and metastasis when referring to CA.,CA,Cancer
chemotherapy was noted near the CA context along with tumor.,CA,Cancer
The CA indicated metastasis and malignancy during evaluation.,CA,Cancer
CA related findings such as chemotherapy plus tumor were documented.,CA,Cancer
The CA indicated tumor and chemotherapy during evaluation.,CA,Cancer
tumor was noted near the CA context along with malignancy.,CA,Cancer
metastasis was noted near the CA context along with tumor.,CA,Cancer
metastasis was noted near the CA context along with malignancy.,CA,Cancer
metastasis was noted near the CA context along with chemotherapy.,CA,Cancer
CA related findings such as malignancy plus metastasis were documented.,CA,Cancer
Assessment showed tumor; CA signified presence of metastasis.,CA,Cancer
Assessment showed tumor; CA signified presence of chemotherapy.,CA,Cancer
The CA indicated chemotherapy and metastasis during evaluation.,CA,Cancer
CA related findings such as metastasis plus tumor were documented.,CA,Cancer
The CA indicated metastasis and tumor during evaluation.,CA,Cancer
CA related findings such as malignancy plus chemotherapy were documented.,CA,Cancer
Clinicians discussed metastasis and tumor when referring to CA.,CA,Cancer
CA related findings such as tumor plus chemotherapy were documented.,CA,Cancer
Assessment showed malignancy; CA signified presence of metastasis.,CA,Cancer
tumor was noted near the CA context along with chemotherapy.,CA,Cancer
chemotherapy was noted near the CA context along with tumor.,CA,Cancer
Assessment showed chemotherapy; CA signified presence of malignancy.,CA,Cancer
CA related findings such as malignancy plus metastasis were documented.,CA,Cancer
CA related findings such as tumor plus metastasis were documented.,CA,Cancer
Clinicians discussed malignancy and metastasis when referring to CA.,CA,Cancer
Assessment showed metastasis; CA signified presence of chemotherapy.,CA,Cancer
Clinicians discussed malignancy and chemotherapy when referring to CA.,CA,Cancer
CA related findings such as malignancy plus metastasis were documented.,CA,Cancer
Assessment showed metastasis; CA signified presence of tumor.,CA,Cancer
CA related findings such as tumor plus malignancy were documented.,CA,Cancer
The CA indicated malignancy and metastasis during evaluation.,CA,Cancer
CA related findings such as malignancy plus chemotherapy were documented.,CA,Cancer
tumor was noted near the CA context along with metastasis.,CA,Cancer
The CA indicated malignancy and metastasis during evaluation.,CA,Cancer
malignancy was noted near the CA context along with metastasis.,CA,Cancer
malignancy was noted near the CA context along with tumor.,CA,Cancer
chemotherapy was noted near the CA context along with metastasis.,CA,Cancer
The CA indicated metastasis and tumor during evaluation.,CA,Cancer
The CA indicated metastasis and tumor during evaluation.,CA,Cancer
CA related findings such as metastasis plus malignancy were documented.,CA,Cancer
Clinicians discussed tumor and malignancy when referring to CA.,CA,Cancer
The CA indicated metastasis and malignancy during evaluation.,CA,Cancer
The CA indicated metastasis and chemotherapy during evaluation.,CA,Cancer
chemotherapy was noted near the CA context along with metastasis.,CA,Cancer
CA related findings such as chemotherapy plus malignancy were documented.,CA,Cancer
CA related findings such as tumor plus chemotherapy were documented.,CA,Cancer
The CA indicated metastasis and malignancy during evaluation.,CA,Cancer
Assessment showed chemotherapy; CA signified presence of metastasis.,CA,Cancer
CA related findings such as malignancy plus metastasis were documented.,CA,Cancer
Assessment showed malignancy; CA signified presence of chemotherapy.,CA,Cancer
tumor was noted near the CA context along with chemotherapy.,CA,Cancer
The CA indicated metastasis and tumor during evaluation.,CA,Cancer
CA related findings such as tumor plus malignancy were documented.,CA,Cancer
The CA indicated tumor and metastasis during evaluation.,CA,Cancer
Assessment showed tumor; CA signified presence of malignancy.,CA,Cancer
CA related findings such as chemotherapy plus malignancy were documented.,CA,Cancer
The CA indicated metastasis and tumor during evaluation.,CA,Cancer
The CA indicated metastasis and chemotherapy during evaluation.,CA,Cancer
tumor was noted near the CA context along with chemotherapy.,CA,Cancer
The CA indicated malignancy and chemotherapy during evaluation.,CA,Cancer
Assessment showed chemotherapy; CA signified presence of tumor.,CA,Cancer
Clinicians discussed tumor and malignancy when referring to CA.,CA,Cancer
chemotherapy was noted near the CA context along with malignancy.,CA,Cancer
tumor was noted near the CA context along with metastasis.,CA,Cancer
CA related findings such as malignancy plus tumor were documented.,CA,Cancer
CA related findings such as metastasis plus chemotherapy were documented.,CA,Cancer
Clinicians discussed chemotherapy and malignancy when referring to CA.,CA,Cancer
Clinicians discussed tumor and chemotherapy when referring to CA.,CA,Cancer
The CA indicated chemotherapy and metastasis during evaluation.,CA,Cancer
The CA indicated tumor and malignancy during evaluation.,CA,Cancer
Clinicians discussed tumor and metastasis when referring to CA.,CA,Cancer
CA related findings such as chemotherapy plus tumor were documented.,CA,Cancer
Assessment showed tumor; CA signified presence of metastasis.,CA,Cancer
CA related findings such as metastasis plus tumor were documented.,CA,Cancer
Clinicians discussed malignancy and metastasis when referring to CA.,CA,Cancer
Assessment showed metastasis; CA signified presence of chemotherapy.,CA,Cancer
CA related findings such as malignancy plus tumor were documented.,CA,Cancer
Clinicians discussed chemotherapy and malignancy when referring to CA.,CA,Cancer
tumor was noted near the CA context along with malignancy.,CA,Cancer
malignancy was noted near the CA context along with chemotherapy.,CA,Cancer
CA related findings such as metastasis plus malignancy were documented.,CA,Cancer
Clinicians discussed tumor and malignancy when referring to CA.,CA,Cancer
The CA indicated tumor and chemotherapy during evaluation.,CA,Cancer
Clinicians discussed tumor and malignancy when referring to CA.,CA,Cancer
Clinicians discussed metastasis and tumor when referring to CA.,CA,Cancer
The CA indicated malignancy and metastasis during evaluation.,CA,Cancer
CA related findings such as metastasis plus chemotherapy were documented.,CA,Cancer
Clinicians discussed malignancy and chemotherapy when referring to CA.,CA,Cancer
Clinicians discussed malignancy and chemotherapy when referring to CA.,CA,Cancer
Clinicians discussed malignancy and metastasis when referring to CA.,CA,Cancer
Assessment showed tumor; CA signified presence of metastasis.,CA,Cancer
Assessment showed chemotherapy; CA signified presence of tumor.,CA,Cancer
The CA indicated malignancy and metastasis during evaluation.,CA,Cancer
metastasis was noted near the CA context along with malignancy.,CA,Cancer
CA related findings such as metastasis plus malignancy were documented.,CA,Cancer
tumor was noted near the CA context along with metastasis.,CA,Cancer
The CA indicated metastasis and chemotherapy during evaluation.,CA,Cancer
Assessment showed metastasis; CA signified presence of tumor.,CA,Cancer
Assessment showed malignancy; CA signified presence of tumor.,CA,Cancer
The CA indicated malignancy and tumor during evaluation.,CA,Cancer
malignancy was noted near the CA context along with chemotherapy.,CA,Cancer
Assessment showed malignancy; CA signified presence of chemotherapy.,CA,Cancer
chemotherapy was noted near the CA context along with malignancy.,CA,Cancer
Clinicians discussed metastasis and malignancy when referring to CA.,CA,Cancer
The CA indicated metastasis and malignancy during evaluation.,CA,Cancer
CA related findings such as tumor plus metastasis were documented.,CA,Cancer
Clinicians discussed tumor and malignancy when referring to CA.,CA,Cancer
tumor was noted near the CA context along with chemotherapy.,CA,Cancer
The CA indicated chemotherapy and tumor during evaluation.,CA,Cancer
The CA indicated tumor and chemotherapy during evaluation.,CA,Cancer
Clinicians discussed malignancy and tumor when referring to CA.,CA,Cancer
tumor was noted near the CA context along with malignancy.,CA,Cancer
Assessment showed malignancy; CA signified presence of metastasis.,CA,Cancer
The CA indicated chemotherapy and tumor during evaluation.,CA,Cancer
malignancy was noted near the CA context along with tumor.,CA,Cancer
Clinicians discussed chemotherapy and malignancy when referring to CA.,CA,Cancer
Assessment showed tumor; CA signified presence of malignancy.,CA,Cancer
parathyroid was noted near the CA context along with bone.,CA,Calcium
The CA indicated parathyroid and hypocalcemia during evaluation.,CA,Calcium
Assessment showed electrolyte; CA signified presence of parathyroid.,CA,Calcium
Clinicians discussed bone and parathyroid when referring to CA.,CA,Calcium
Assessment showed electrolyte; CA signified presence of parathyroid.,CA,Calcium
Clinicians discussed electrolyte and hypocalcemia when referring to CA.,CA,Calcium
parathyroid was noted near the CA context along with bone.,CA,Calcium
Clinicians discussed electrolyte and bone when referring to CA.,CA,Calcium
Clinicians discussed bone and hypocalcemia when referring to CA.,CA,Calcium
CA related findings such as bone plus parathyroid were documented.,CA,Calcium
CA related findings such as hypocalcemia plus parathyroid were documented.,CA,Calcium
Clinicians discussed parathyroid and bone when referring to CA.,CA,Calcium
Clinicians discussed hypocalcemia and electrolyte when referring to CA.,CA,Calcium
Clinicians discussed bone and parathyroid when referring to CA.,CA,Calcium
CA related findings such as bone plus electrolyte were documented.,CA,Calcium
Clinicians discussed bone and hypocalcemia when referring to CA.,CA,Calcium
Clinicians discussed hypocalcemia and parathyroid when referring to CA.,CA,Calcium
Assessment showed parathyroid; CA signified presence of electrolyte.,CA,Calcium
The CA indicated electrolyte and bone during evaluation.,CA,Calcium
CA related findings such as electrolyte plus bone were documented.,CA,Calcium
CA related findings such as parathyroid plus electrolyte were documented.,CA,Calcium
hypocalcemia was noted near the CA context along with bone.,CA,Calcium
CA related findings such as bone plus electrolyte were documented.,CA,Calcium
Assessment showed parathyroid; CA signified presence of bone.,CA,Calcium
parathyroid was noted near the CA context along with bone.,CA,Calcium
The CA indicated parathyroid and hypocalcemia during evaluation.,CA,Calcium
The CA indicated hypocalcemia and parathyroid during evaluation.,CA,Calcium
The CA indicated electrolyte and parathyroid during evaluation.,CA,Calcium
The CA indicated parathyroid and electrolyte during evaluation.,CA,Calcium
Assessment showed hypocalcemia; CA signified presence of parathyroid.,CA,Calcium
The CA indicated hypocalcemia and parathyroid during evaluation.,CA,Calcium
Assessment showed electrolyte; CA signified presence of parathyroid.,CA,Calcium
CA related findings such as bone plus electrolyte were documented.,CA,Calcium
The CA indicated electrolyte and hypocalcemia during evaluation.,CA,Calcium
The CA indicated parathyroid and electrolyte during evaluation.,CA,Calcium
The CA indicated hypocalcemia and bone during evaluation.,CA,Calcium
CA related findings such as hypocalcemia plus electrolyte were documented.,CA,Calcium
hypocalcemia was noted near the CA context along with electrolyte.,CA,Calcium
Assessment showed electrolyte; CA signified presence of bone.,CA,Calcium
electrolyte was noted near the CA context along with hypocalcemia.,CA,Calcium
The CA indicated parathyroid and hypocalcemia during evaluation.,CA,Calcium
The CA indicated hypocalcemia and bone during evaluation.,CA,Calcium
Assessment showed hypocalcemia; CA signified presence of parathyroid.,CA,Calcium
The CA indicated electrolyte and hypocalcemia during evaluation.,CA,Calcium
CA related findings such as bone plus electrolyte were documented.,CA,Calcium
bone was noted near the CA context along with electrolyte.,CA,Calcium
The CA indicated hypocalcemia and bone during evaluation.,CA,Calcium
Assessment showed parathyroid; CA signified presence of electrolyte.,CA,Calcium
Clinicians discussed parathyroid and electrolyte when referring to CA.,CA,Calcium
bone was noted near the CA context along with parathyroid.,CA,Calcium
parathyroid was noted near the CA context along with electrolyte.,CA,Calcium
Clinicians discussed bone and hypocalcemia when referring to CA.,CA,Calcium
CA related findings such as electrolyte plus hypocalcemia were documented.,CA,Calcium
CA related findings such as parathyroid plus hypocalcemia were documented.,CA,Calcium
CA related findings such as electrolyte plus bone were documented.,CA,Calcium
Assessment showed parathyroid; CA signified presence of bone.,CA,Calcium
Clinicians discussed hypocalcemia and parathyroid when referring to CA.,CA,Calcium
bone was noted near the CA context along with electrolyte.,CA,Calcium
hypocalcemia was noted near the CA context along with electrolyte.,CA,Calcium
Assessment showed bone; CA signified presence of hypocalcemia.,CA,Calcium
The CA indicated parathyroid and hypocalcemia during evaluation.,CA,Calcium
The CA indicated bone and hypocalcemia during evaluation.,CA,Calcium
Assessment showed electrolyte; CA signified presence of parathyroid.,CA,Calcium
Clinicians discussed parathyroid and electrolyte when referring to CA.,CA,Calcium
Assessment showed hypocalcemia; CA signified presence of bone.,CA,Calcium
CA related findings such as electrolyte plus bone were documented.,CA,Calcium
electrolyte was noted near the CA context along with parathyroid.,CA,Calcium
Assessment showed parathyroid; CA signified presence of electrolyte.,CA,Calcium
The CA indicated bone and hypocalcemia during evaluation.,CA,Calcium
Assessment showed parathyroid; CA signified presence of hypocalcemia.,CA,Calcium
The CA indicated hypocalcemia and electrolyte during evaluation.,CA,Calcium
Assessment showed parathyroid; CA signified presence of hypocalcemia.,CA,Calcium
parathyroid was noted near the CA context along with electrolyte.,CA,Calcium
electrolyte was noted near the CA context along with bone.,CA,Calcium
Assessment showed hypocalcemia; CA signified presence of electrolyte.,CA,Calcium
The CA indicated hypocalcemia and bone during evaluation.,CA,Calcium
Clinicians discussed bone and electrolyte when referring to CA.,CA,Calcium
Clinicians discussed hypocalcemia and parathyroid when referring to CA.,CA,Calcium
electrolyte was noted near the CA context along with parathyroid.,CA,Calcium
CA related findings such as bone plus hypocalcemia were documented.,CA,Calcium
CA related findings such as hypocalcemia plus parathyroid were documented.,CA,Calcium
bone was noted near the CA context along with electrolyte.,CA,Calcium
hypocalcemia was noted near the CA context along with bone.,CA,Calcium
Assessment showed bone; CA signified presence of hypocalcemia.,CA,Calcium
CA related findings such as bone plus hypocalcemia were documented.,CA,Calcium
The CA indicated parathyroid and hypocalcemia during evaluation.,CA,Calcium
Assessment showed bone; CA signified presence of electrolyte.,CA,Calcium
electrolyte was noted near the CA context along with parathyroid.,CA,Calcium
Clinicians discussed hypocalcemia and bone when referring to CA.,CA,Calcium
CA related findings such as parathyroid plus bone were documented.,CA,Calcium
The CA indicated hypocalcemia and electrolyte during evaluation.,CA,Calcium
The CA indicated hypocalcemia and parathyroid during evaluation.,CA,Calcium
The CA indicated bone and hypocalcemia during evaluation.,CA,Calcium
Clinicians discussed electrolyte and hypocalcemia when referring to CA.,CA,Calcium
The CA indicated bone and electrolyte during evaluation.,CA,Calcium
The CA indicated bone and hypocalcemia during evaluation.,CA,Calcium
Clinicians discussed parathyroid and hypocalcemia when referring to CA.,CA,Calcium
Clinicians discussed bone and hypocalcemia when referring to CA.,CA,Calcium
The CA indicated parathyroid and hypocalcemia during evaluation.,CA,Calcium
parathyroid was noted near the CA context along with hypocalcemia.,CA,Calcium
CA related findings such as bone plus electrolyte were documented.,CA,Calcium
The CA indicated bone and electrolyte during evaluation.,CA,Calcium
Clinicians discussed hypocalcemia and electrolyte when referring to CA.,CA,Calcium
parathyroid was noted near the CA context along with hypocalcemia.,CA,Calcium
CA related findings such as electrolyte plus parathyroid were documented.,CA,Calcium
parathyroid was noted near the CA context along with electrolyte.,CA,Calcium
The CA indicated hypocalcemia and bone during evaluation.,CA,Calcium
Assessment showed parathyroid; CA signified presence of hypocalcemia.,CA,Calcium
bone was noted near the CA context along with electrolyte.,CA,Calcium
parathyroid was noted near the CA context along with electrolyte.,CA,Calcium
Clinicians discussed bone and hypocalcemia when referring to CA.,CA,Calcium
electrolyte was noted near the CA context along with hypocalcemia.,CA,Calcium
The CA indicated bone and electrolyte during evaluation.,CA,Calcium
The CA indicated hypocalcemia and parathyroid during evaluation.,CA,Calcium
Clinicians discussed electrolyte and parathyroid when referring to CA.,CA,Calcium
Clinicians discussed bone and parathyroid when referring to CA.,CA,Calcium
Clinicians discussed bone and hypocalcemia when referring to CA.,CA,Calcium
Clinicians discussed electrolyte and hypocalcemia when referring to CA.,CA,Calcium
electrolyte was noted near the CA context along with parathyroid.,CA,Calcium
hypocalcemia was noted near the CA context along with bone.,CA,Calcium
CA related findings such as electrolyte plus parathyroid were documented.,CA,Calcium
CA related findings such as parathyroid plus electrolyte were documented.,CA,Calcium
Clinicians discussed bone and parathyroid when referring to CA.,CA,Calcium
The CA indicated hypocalcemia and parathyroid during evaluation.,CA,Calcium
CA related findings such as hypocalcemia plus electrolyte were documented.,CA,Calcium
bone was noted near the CA context along with parathyroid.,CA,Calcium
Assessment showed hypocalcemia; CA signified presence of electrolyte.,CA,Calcium
The CA indicated electrolyte and hypocalcemia during evaluation.,CA,Calcium
Assessment showed electrolyte; CA signified presence of hypocalcemia.,CA,Calcium
CA related findings such as electrolyte plus hypocalcemia were documented.,CA,Calcium
The CA indicated hypocalcemia and bone during evaluation.,CA,Calcium
The CA indicated bone and hypocalcemia during evaluation.,CA,Calcium
electrolyte was noted near the CA context along with bone.,CA,Calcium
The CA indicated bone and parathyroid during evaluation.,CA,Calcium
CA related findings such as electrolyte plus bone were documented.,CA,Calcium
Assessment showed hypocalcemia; CA signified presence of electrolyte.,CA,Calcium
The CA indicated bone and parathyroid during evaluation.,CA,Calcium
Clinicians discussed hypocalcemia and electrolyte when referring to CA.,CA,Calcium
bone was noted near the CA context along with electrolyte.,CA,Calcium
The CA indicated hypocalcemia and bone during evaluation.,CA,Calcium
CA related findings such as hypocalcemia plus bone were documented.,CA,Calcium
Clinicians discussed bone and hypocalcemia when referring to CA.,CA,Calcium
hypocalcemia was noted near the CA context along with electrolyte.,CA,Calcium
parathyroid was noted near the CA context along with electrolyte.,CA,Calcium
CA related findings such as electrolyte plus parathyroid were documented.,CA,Calcium
Assessment showed parathyroid; CA signified presence of electrolyte.,CA,Calcium
Clinicians discussed bone and electrolyte when referring to CA.,CA,Calcium
electrolyte was noted near the CA context along with parathyroid.,CA,Calcium
CA related findings such as electrolyte plus hypocalcemia were documented.,CA,Calcium
Clinicians discussed bone and parathyroid when referring to CA.,CA,Calcium
CA related findings such as hypocalcemia plus electrolyte were documented.,CA,Calcium
CA related findings such as hypocalcemia plus electrolyte were documented.,CA,Calcium
Clinicians discussed bone and hypocalcemia when referring to CA.,CA,Calcium
hypocalcemia was noted near the CA context along with parathyroid.,CA,Calcium
The CA indicated hypocalcemia and parathyroid during evaluation.,CA,Calcium
CA related findings such as electrolyte plus parathyroid were documented.,CA,Calcium
Assessment showed bone; CA signified presence of electrolyte.,CA,Calcium
hypocalcemia was noted near the CA context along with parathyroid.,CA,Calcium
The CA indicated bone and parathyroid during evaluation.,CA,Calcium
Assessment showed hypocalcemia; CA signified presence of parathyroid.,CA,Calcium
erosion was noted near the RA context along with DMARD.,RA,Rheumatoid Arthritis
RA related findings such as erosion plus autoimmune were documented.,RA,Rheumatoid Arthritis
The RA indicated autoimmune and DMARD during evaluation.,RA,Rheumatoid Arthritis
erosion was noted near the RA context along with autoimmune.,RA,Rheumatoid Arthritis
Assessment showed autoimmune; RA signified presence of erosion.,RA,Rheumatoid Arthritis
Clinicians discussed autoimmune and synovial when referring to RA.,RA,Rheumatoid Arthritis
Clinicians discussed autoimmune and erosion when referring to RA.,RA,Rheumatoid Arthritis
RA related findings such as synovial plus autoimmune were documented.,RA,Rheumatoid Arthritis
synovial was noted near the RA context along with autoimmune.,RA,Rheumatoid Arthritis
The RA indicated autoimmune and DMARD during evaluation.,RA,Rheumatoid Arthritis
The RA indicated synovial and DMARD during evaluation.,RA,Rheumatoid Arthritis
RA related findings such as synovial plus autoimmune were documented.,RA,Rheumatoid Arthritis
autoimmune was noted near the RA context along with DMARD.,RA,Rheumatoid Arthritis
Assessment showed synovial; RA signified presence of DMARD.,RA,Rheumatoid Arthritis
The RA indicated DMARD and erosion during evaluation.,RA,Rheumatoid Arthritis
Assessment showed synovial; RA signified presence of erosion.,RA,Rheumatoid Arthritis
Assessment showed autoimmune; RA signified presence of erosion.,RA,Rheumatoid Arthritis
Assessment showed erosion; RA signified presence of autoimmune.,RA,Rheumatoid Arthritis
DMARD was noted near the RA context along with erosion.,RA,Rheumatoid Arthritis
The RA indicated synovial and DMARD during evaluation.,RA,Rheumatoid Arthritis
The RA indicated erosion and DMARD during evaluation.,RA,Rheumatoid Arthritis
Clinicians discussed autoimmune and erosion when referring to RA.,RA,Rheumatoid Arthritis
RA related findings such as erosion plus autoimmune were documented.,RA,Rheumatoid Arthritis
Clinicians discussed erosion and synovial when referring to RA.,RA,Rheumatoid Arthritis
Clinicians discussed erosion and DMARD when referring to RA.,RA,Rheumatoid Arthritis
The RA indicated autoimmune and erosion during evaluation.,RA,Rheumatoid Arthritis
RA related findings such as synovial plus DMARD were documented.,RA,Rheumatoid Arthritis
RA related findings such as erosion plus autoimmune were documented.,RA,Rheumatoid Arthritis
Clinicians discussed DMARD and autoimmune when referring to RA.,RA,Rheumatoid Arthritis
erosion was noted near the RA context along with DMARD.,RA,Rheumatoid Arthritis
Clinicians discussed DMARD and autoimmune when referring to RA.,RA,Rheumatoid Arthritis
The RA indicated autoimmune and DMARD during evaluation.,RA,Rheumatoid Arthritis
Assessment showed erosion; RA signified presence of autoimmune.,RA,Rheumatoid Arthritis
Clinicians discussed DMARD and autoimmune when referring to RA.,RA,Rheumatoid Arthritis
synovial was noted near the RA context along with DMARD.,RA,Rheumatoid Arthritis
Assessment showed autoimmune; RA signified presence of erosion.,RA,Rheumatoid Arthritis
The RA indicated autoimmune and synovial during evaluation.,RA,Rheumatoid Arthritis
DMARD was noted near the RA context along with erosion.,RA,Rheumatoid Arthritis
The RA indicated DMARD and synovial during evaluation.,RA,Rheumatoid Arthritis
Assessment showed autoimmune; RA signified presence of DMARD.,RA,Rheumatoid Arthritis
The RA indicated erosion and autoimmune during evaluation.,RA,Rheumatoid Arthritis
Clinicians discussed erosion and DMARD when referring to RA.,RA,Rheumatoid Arthritis
DMARD was noted near the RA context along with erosion.,RA,Rheumatoid Arthritis
RA related findings such as autoimmune plus DMARD were documented.,RA,Rheumatoid Arthritis
Assessment showed synovial; RA signified presence of DMARD.,RA,Rheumatoid Arthritis
RA related findings such as synovial plus erosion were documented.,RA,Rheumatoid Arthritis
erosion was noted near the RA context along with DMARD.,RA,Rheumatoid Arthritis
The RA indicated synovial and erosion during evaluation.,RA,Rheumatoid Arthritis
Clinicians discussed autoimmune and erosion when referring to RA.,RA,Rheumatoid Arthritis
Clinicians discussed synovial and DMARD when referring to RA.,RA,Rheumatoid Arthritis
RA related findings such as DMARD plus autoimmune were documented.,RA,Rheumatoid Arthritis
Clinicians discussed DMARD and synovial when referring to RA.,RA,Rheumatoid Arthritis
erosion was noted near the RA context along with autoimmune.,RA,Rheumatoid Arthritis
The RA indicated autoimmune and DMARD during evaluation.,RA,Rheumatoid Arthritis
The RA indicated synovial and erosion during evaluation.,RA,Rheumatoid Arthritis
synovial was noted near the RA context along with erosion.,RA,Rheumatoid Arthritis
DMARD was noted near the RA context along with autoimmune.,RA,Rheumatoid Arthritis
RA related findings such as DMARD plus erosion were documented.,RA,Rheumatoid Arthritis
The RA indicated erosion and DMARD during evaluation.,RA,Rheumatoid Arthritis
The RA indicated synovial and DMARD during evaluation.,RA,Rheumatoid Arthritis
erosion was noted near the RA context along with autoimmune.,RA,Rheumatoid Arthritis
The RA indicated synovial and erosion during evaluation.,RA,Rheumatoid Arthritis
The RA indicated autoimmune and DMARD during evaluation.,RA,Rheumatoid Arthritis
erosion was noted near the RA context along with DMARD.,RA,Rheumatoid Arthritis
RA related findings such as synovial plus autoimmune were documented.,RA,Rheumatoid Arthritis
erosion was noted near the RA context along with autoimmune.,RA,Rheumatoid Arthritis
synovial was noted near the RA context along with DMARD.,RA,Rheumatoid Arthritis
Clinicians discussed synovial and erosion when referring to RA.,RA,Rheumatoid Arthritis
DMARD was noted near the RA context along with erosion.,RA,Rheumatoid Arthritis
The RA indicated erosion and synovial during evaluation.,RA,Rheumatoid Arthritis
RA related findings such as erosion plus synovial were documented.,RA,Rheumatoid Arthritis
Assessment showed synovial; RA signified presence of DMARD.,RA,Rheumatoid Arthritis
RA related findings such as DMARD plus synovial were documented.,RA,Rheumatoid Arthritis
erosion was noted near the RA context along with DMARD.,RA,Rheumatoid Arthritis
RA related findings such as synovial plus DMARD were documented.,RA,Rheumatoid Arthritis
RA related findings such as autoimmune plus DMARD were documented.,RA,Rheumatoid Arthritis
Clinicians discussed synovial and DMARD when referring to RA.,RA,Rheumatoid Arthritis
RA related findings such as synovial plus autoimmune were documented.,RA,Rheumatoid Arthritis
The RA indicated DMARD and erosion during evaluation.,RA,Rheumatoid Arthritis
synovial was noted near the RA context along with DMARD.,RA,Rheumatoid Arthritis
Clinicians discussed DMARD and erosion when referring to RA.,RA,Rheumatoid Arthritis
Assessment showed DMARD; RA signified presence of autoimmune.,RA,Rheumatoid Arthritis
DMARD was noted near the RA context along with autoimmune.,RA,Rheumatoid Arthritis
RA related findings such as DMARD plus autoimmune were documented.,RA,Rheumatoid Arthritis
Assessment showed synovial; RA signified presence of DMARD.,RA,Rheumatoid Arthritis
RA related findings such as autoimmune plus synovial were documented.,RA,Rheumatoid Arthritis
The RA indicated DMARD and autoimmune during evaluation.,RA,Rheumatoid Arthritis
Clinicians discussed autoimmune and erosion when referring to RA.,RA,Rheumatoid Arthritis
RA related findings such as synovial plus DMARD were documented.,RA,Rheumatoid Arthritis
Clinicians discussed autoimmune and erosion when referring to RA.,RA,Rheumatoid Arthritis
Assessment showed synovial; RA signified presence of autoimmune.,RA,Rheumatoid Arthritis
DMARD was noted near the RA context along with synovial.,RA,Rheumatoid Arthritis
RA related findings such as erosion plus DMARD were documented.,RA,Rheumatoid Arthritis
RA related findings such as erosion plus synovial were documented.,RA,Rheumatoid Arthritis
RA related findings such as erosion plus DMARD were documented.,RA,Rheumatoid Arthritis
Clinicians discussed DMARD and autoimmune when referring to RA.,RA,Rheumatoid Arthritis
RA related findings such as autoimmune plus erosion were documented.,RA,Rheumatoid Arthritis
Assessment showed synovial; RA signified presence of autoimmune.,RA,Rheumatoid Arthritis
DMARD was noted near the RA context along with erosion.,RA,Rheumatoid Arthritis
RA related findings such as erosion plus synovial were documented.,RA,Rheumatoid Arthritis
RA related findings such as erosion plus autoimmune were documented.,RA,Rheumatoid Arthritis
Clinicians discussed autoimmune and DMARD when referring to RA.,RA,Rheumatoid Arthritis
Clinicians discussed autoimmune and DMARD when referring to RA.,RA,Rheumatoid Arthritis
RA related findings such as autoimmune plus erosion were documented.,RA,Rheumatoid Arthritis
Clinicians discussed erosion and DMARD when referring to RA.,RA,Rheumatoid Arthritis
RA related findings such as synovial plus autoimmune were documented.,RA,Rheumatoid Arthritis
Clinicians discussed autoimmune and DMARD when referring to RA.,RA,Rheumatoid Arthritis
Assessment showed synovial; RA signified presence of DMARD.,RA,Rheumatoid Arthritis
The RA indicated autoimmune and synovial during evaluation.,RA,Rheumatoid Arthritis
Clinicians discussed synovial and erosion when referring to RA.,RA,Rheumatoid Arthritis
autoimmune was noted near the RA context along with erosion.,RA,Rheumatoid Arthritis
The RA indicated autoimmune and synovial during evaluation.,RA,Rheumatoid Arthritis
Clinicians discussed autoimmune and DMARD when referring to RA.,RA,Rheumatoid Arthritis
Assessment showed synovial; RA signified presence of DMARD.,RA,Rheumatoid Arthritis
Clinicians discussed synovial and autoimmune when referring to RA.,RA,Rheumatoid Arthritis
The RA indicated erosion and autoimmune during evaluation.,RA,Rheumatoid Arthritis
erosion was noted near the RA context along with autoimmune.,RA,Rheumatoid Arthritis
Assessment showed synovial; RA signified presence of autoimmune.,RA,Rheumatoid Arthritis
The RA indicated autoimmune and erosion during evaluation.,RA,Rheumatoid Arthritis
The RA indicated DMARD and erosion during evaluation.,RA,Rheumatoid Arthritis
autoimmune was noted near the RA context along with DMARD.,RA,Rheumatoid Arthritis
RA related findings such as DMARD plus autoimmune were documented.,RA,Rheumatoid Arthritis
RA related findings such as synovial plus autoimmune were documented.,RA,Rheumatoid Arthritis
RA related findings such as erosion plus synovial were documented.,RA,Rheumatoid Arthritis
Clinicians discussed erosion and autoimmune when referring to RA.,RA,Rheumatoid Arthritis
RA related findings such as synovial plus DMARD were documented.,RA,Rheumatoid Arthritis
Clinicians discussed erosion and DMARD when referring to RA.,RA,Rheumatoid Arthritis
Assessment showed DMARD; RA signified presence of erosion.,RA,Rheumatoid Arthritis
RA related findings such as DMARD plus synovial were documented.,RA,Rheumatoid Arthritis
erosion was noted near the RA context along with DMARD.,RA,Rheumatoid Arthritis
synovial was noted near the RA context along with DMARD.,RA,Rheumatoid Arthritis
Assessment showed autoimmune; RA signified presence of DMARD.,RA,Rheumatoid Arthritis
RA related findings such as autoimmune plus erosion were documented.,RA,Rheumatoid Arthritis
The RA indicated synovial and autoimmune during evaluation.,RA,Rheumatoid Arthritis
RA related findings such as synovial plus DMARD were documented.,RA,Rheumatoid Arthritis
The RA indicated erosion and autoimmune during evaluation.,RA,Rheumatoid Arthritis
